species;region;kraina_group;psi4;psi5;psi1;psi2;psi3;psi6
BK;GLOB;GLOB;29,03964;-119,12858;-0,01240;105,81170;-0,52331;-0,0000368595
BRZ;GLOB;GLOB;23,13608;-56,11695;-0,02235;137,38875;-0,65406;-0,0000423541
DB;GLOB;GLOB;52,97901;480,40108;-0,01049;66,17776;-0,48777;-0,0001134777
JD;GLOB;GLOB;106,54737;894,09141;-0,01398;483,67341;-0,66684;-0,0003838966
MD;GLOB;GLOB;51,48340;450,49290;-0,00298;8,96900;-0,28874;-0,0000602966
OL;GLOB;GLOB;72,44097;978,21496;-0,00688;25,12688;-0,42186;0,0000623558
SO;GLOB;GLOB;31,65242;-184,27125;-0,00979;8,59434;-0,26200;0,0000008369
ŚW;GLOB;GLOB;29,43354;-249,02729;-0,01469;45,22080;-0,41361;-0,0000254914
BK;I;I;29,56985;-164,06392;-0,01298;120,15646;-0,53188;-0,0000430395
BK;II;II-IV;29,73089;-164,67323;-0,01299;120,67268;-0,53199;-0,0000432690
BK;III;II-IV;29,73089;-164,67323;-0,01299;120,67268;-0,53199;-0,0000432690
BK;IV;II-IV;29,73089;-164,67323;-0,01299;120,67268;-0,53199;-0,0000432690
BK;V;V-VII;28,74011;-160,92465;-0,01294;117,47734;-0,53128;-0,0000418565
BK;VI;V-VII;28,74011;-160,92465;-0,01294;117,47734;-0,53128;-0,0000418565
BK;VII;V-VII;28,74011;-160,92465;-0,01294;117,47734;-0,53128;-0,0000418565
BK;VIII;VIII;26,63768;-152,97099;-0,01283;110,53808;-0,52959;-0,0000388574
BRZ;I;I-II;24,07916;-69,00807;-0,02206;139,76355;-0,65090;-0,0000547513
BRZ;II;I-II;24,07916;-69,00807;-0,02206;139,76355;-0,65090;-0,0000547513
BRZ;III;III-IV;23,18765;-56,58558;-0,02292;175,61030;-0,69187;-0,0000480730
BRZ;IV;III-IV;23,18765;-56,58558;-0,02292;175,61030;-0,69187;-0,0000480730
BRZ;V;V-VIII;21,49072;-74,48511;-0,02178;143,45149;-0,66666;-0,0000454726
BRZ;VI;V-VIII;21,49072;-74,48511;-0,02178;143,45149;-0,66666;-0,0000454726
BRZ;VII;V-VIII;21,49072;-74,48511;-0,02178;143,45149;-0,66666;-0,0000454726
BRZ;VIII;V-VIII;21,49072;-74,48511;-0,02178;143,45149;-0,66666;-0,0000454726
OL;I;I;69,55037;951,54169;-0,00739;24,91596;-0,42485;0,0000808528
OL;II;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;III;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;IV;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;V;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;VI;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;VII;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
OL;VIII;II-VIII;72,51727;982,26823;-0,00592;21,95817;-0,40489;0,0000826305
DB;I;I-IV;47,13456;395,40148;-0,01035;66,03756;-0,49804;-0,0000206488
DB;II;I-IV;47,13456;395,40148;-0,01035;66,03756;-0,49804;-0,0000206488
DB;III;I-IV;47,13456;395,40148;-0,01035;66,03756;-0,49804;-0,0000206488
DB;IV;I-IV;47,13456;395,40148;-0,01035;66,03756;-0,49804;-0,0000206488
DB;V;V-VIII;48,90512;412,04716;-0,01042;68,26160;-0,49939;-0,0000211822
DB;VI;V-VIII;48,90512;412,04716;-0,01042;68,26160;-0,49939;-0,0000211822
DB;VII;V-VIII;48,90512;412,04716;-0,01042;68,26160;-0,49939;-0,0000211822
DB;VIII;V-VIII;48,90512;412,04716;-0,01042;68,26160;-0,49939;-0,0000211822
SO;I;I;46,55788;102,39186;-0,00909;3,31822;-0,11593;-0,0001639657
SO;II;II;30,41729;-204,63948;-0,00968;12,80574;-0,31225;-0,0000337943
SO;III;III;32,68814;-99,49182;-0,00864;11,68867;-0,30828;-0,0000102361
SO;IV;IV;43,55417;62,16075;-0,00972;2,33708;-0,06616;-0,0002177666
SO;V;V-VII;38,87632;24,80128;-0,01002;12,13826;-0,31561;0,0000122411
SO;VI;VI-VIII;30,75124;-254,47113;-0,01231;24,32040;-0,40578;-0,0000280854
SO;VII;V-VII;38,87632;24,80128;-0,01002;12,13826;-0,31561;0,0000122411
SO;VIII;VI-VIII;30,75124;-254,47113;-0,01231;24,32040;-0,40578;-0,0000280854
ŚW;I;I-II;24,31154;-576,19363;-0,01615;162,20495;-0,57352;-0,0000677859
ŚW;II;I-II;24,31154;-576,19363;-0,01615;162,20495;-0,57352;-0,0000677859
ŚW;III;III-VI;21,21979;-503,66763;-0,01612;148,92754;-0,57277;-0,0000591832
ŚW;IV;III-VI;21,21979;-503,66763;-0,01612;148,92754;-0,57277;-0,0000591832
ŚW;V;III-VI;21,21979;-503,66763;-0,01612;148,92754;-0,57277;-0,0000591832
ŚW;VI;III-VI;21,21979;-503,66763;-0,01612;148,92754;-0,57277;-0,0000591832
ŚW;VII;VII;23,72757;-562,49463;-0,01615;159,75666;-0,57339;-0,0000661610
ŚW;VIII;VIII;16,25199;-387,13913;-0,01604;125,64862;-0,57097;-0,0000453597
JD;I;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;II;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;III;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;IV;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;V;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;VI;I-VI;34,83704;-534,43771;-0,01193;965,70505;-0,82780;-0,0002051935
JD;VII;VII-VIII;54,67524;-828,42413;-0,01200;1392,65864;-0,82669;-0,0003230018
JD;VIII;VII-VIII;54,67524;-828,42413;-0,01200;1392,65864;-0,82669;-0,0003230018
MD;I;I-II;53,36502;434,79534;-0,00316;9,22868;-0,29054;-0,0000748126
MD;II;I-II;53,36502;434,79534;-0,00316;9,22868;-0,29054;-0,0000748126
MD;III;III-VI;48,18622;390,41320;-0,00308;8,86822;-0,28954;-0,0000672397
MD;IV;III-VI;48,18622;390,41320;-0,00308;8,86822;-0,28954;-0,0000672397
MD;V;III-VI;48,18622;390,41320;-0,00308;8,86822;-0,28954;-0,0000672397
MD;VI;III-VI;48,18622;390,41320;-0,00308;8,86822;-0,28954;-0,0000672397
MD;VII;VII-VIII;51,73983;420,86815;-0,00313;9,11869;-0,29025;-0,0000724362
MD;VIII;VII-VIII;51,73983;420,86815;-0,00313;9,11869;-0,29025;-0,0000724362
