species;n1;n2;b;c;a
BK;21,62179192;139,32980680;-0,028834750;2,661969627e+02;-0,650498774
BRZ;20,74993796;188,53447680;-0,035116545;3,700459816e+01;-0,464418938
DB;24,25877891;178,28965380;-0,022586136;1,706544065e+03;-1,027084849
JD;40,03597347;268,78383110;-0,031458480;1,599799056e+05;-1,533481678
JS;21,22929596;193,77624010;-0,042812375;3,187401962e+04;-1,475743174
MD;23,68499909;277,58914050;-0,023458493;7,281574276e+03;-1,350634956
OL;41,65740853;588,08576740;-0,035475639;2,374106038e+04;-1,410137652
OS;27,17000219;281,82485990;-0,022203927;2,488035753e+00;-0,095734376
SO;18,24605416;63,00716306;-0,039864192;7,346450154e+03;-1,271120356
ŚW;31,87660709;284,58026910;-0,047915950;4,136105105e+03;-0,960745313
